name,description,datasheet,sample,analysis,included,excluded,quality_control,license,intended_uses,prohibited_uses,monitoring,feedback,training_emissions,training_time,training_hardware,adaptation,output_space,terms_of_service,monthly_active_users,user_distribution,failures,type_id,organization_id,created_date_id,link_type_id,modality_id,size_id,dependencies_id,access_id,model_type_id
The Pile,"A large language model training dataset, used to train GPT-NeoX-20B.
",https://arxiv.org/pdf/2201.07311.pdf,"['...pot trending topics and the coverage around them. First up, there’s a bit of a visual redesign. Previously, clicking on a trending topic would highlight a story from one publication, and you’d have to scroll down past a live video section to view related stories. Facebook is replacing that system with a simple carousel, which does a better job of showing you different coverage options. To be clear, the change doesn’t affect how stories are sourced, according to Facebook. It’s still the same algorithm pickin...', 'Total knee arthroplasty (TKA) is a promising treatment for endstage osteoarthritis (OA) of the knee for alleviating pain and restoring the function of the knee. Some of the cases with bilateral TKA are symptomatic, necessitating revision arthroplasty in both the knees. A bilateral revision TKA can be done ei', 'On the converse, the set-valued map $\\Phi:[0,3]\\rightrightarrows [0,3]$ $$\\Phi(x):=\\left\\{\\begin{array}{ll} \\{1\\} & \\mbox{ if } 0\\leq x<1\\\\ {}[1,2] & \\mbox{ if } 1\\leq x\\leq 2\\\\ \\{2\\} &', 'This Court thus uses the same interpretation of V.R.C.P. 52(a) as it did *487 under the previous statutory requirement found in 12 V.S.A. § 2385.  In essense, the defendants urge that this Court should reconsider the case of Green Mountain Marble Co. v. Highway Board, supra, and follow the Federal practice of looking to the evide']","Analyses of the data's composition, document statistics, language/dialectal coverage, topical distribution, and biases are conducted are conducted in the paper [[The Pile Paper]](https://arxiv.org/pdf/2101.00027.pdf).
","The Pile data come from 22 sources, with over half of the data being from Common Crawl (Pile-CC; 227GB), fiction and nonfiction books (Books3; 101GB), biomedical articles (PubMed Central; 90GB), and code (Github; 95 GB). Refer to the paper for full decomposition [[Table 1]](https://arxiv.org/pdf/2101.00027.pdf#table.caption.2).
","Authors report that they have excluded some datasets ""because they were too small to be worth spending time or because the English component of the data did not merit inclusion on its own. Three datasets were excluded for other reasons: (1) US Congressional Records were excluded because it ""reflects the opinions and biases of the political class over the past 200 years, including segregationism and xenophobia."" (2) Online Fanfiction resources amounting to Hundreds of GiB were excluded on logistical grounds. (3) Literotica, platform where users can upload short-form erotic fiction, was excluded because the authors decided to exclude fanfiction, the corpus would require significant investigation, and corpus contain significant amount of stereotyping [[Appendix B]](https://arxiv.org/pdf/2101.00027.pdf).
","In addition to the data inclusion and exclusion decisions, the quality was controlled through filtering for English (pycld2 language classifier), filtering for documents similar to OpenWebText2 (classifier on CommonCrawl), and several forms of deduplication as detailed in the paper [[Appendix C]](https://arxiv.org/pdf/2101.00027.pdf#appendix.1.C) [[Appendix D]](https://arxiv.org/pdf/2101.00027.pdf#appendix.1.D).
",MIT,"The Pile was intended to be used as a high quality large text dataset for language modeling tasks, explained in more detail in the paper [[Section 1]](https://arxiv.org/pdf/2101.00027.pdf#section.1).
",,,"Feedback can be given by emailing the authors at contact at eleuther.ai.
",,,,,,,,,,1,59,12,4,12,188,302,2,4
GPT-J,GPT-J is an open-source autoregressive language model.,,,,,,,Apache 2.0,,,,,,,TRC (Unspecified # of TPU v3-8s),,,,,,,2,59,24,3,62,169,255,2,4
GPT-Neo,,,,,,,,MIT,,,,,,,,,,,,,,2,59,16,1,62,71,255,2,4
GPT-NeoX,"GPT-NeoX (20B) is an open-sourced autoregressive language model.
",,,"The model was evaluated on standard NLP benchmarks: LAMBADA, ANLI, HellaSwag, MMLU among others [[Section 4]](http://eaidata.bmk.sh/data/GPT_NeoX_20B.pdf#section.4).
",,,,Apache 2.0,"As stated in the model card: ""GPT-NeoX-20B learns an inner representation of the English language that can be used to extract features useful for downstream tasks. The model is best at what it was pretrained for however, which is generating text from a prompt. Due to the generality of the pretraining set, it has acquired the ability to generate completions across a wide range of tasks - from programming to fiction writing [[Model Card]](https://mystic.the-eye.eu/public/AI/models/GPT-NeoX-20B/20B_model_card.md).""
",,,"Feedback can be provided using the  # 20b channel in EleutherAI Discord group [[EleutherAI Blog Post]](https://blog.eleuther.ai/announcing-20b/). Find the Discord link in the FAQ page [[FAQ]](https://www.eleuther.ai/faq/).
",31.73 tCO2e,47.10 petaflop/s-day,12 x 8 A100 GPUs,,,,,,,2,59,47,4,63,78,255,2,4
GooseAI API,"GooseAI API is an API service providing access to NLP services.
",,,,,,unknown,custom,"Intended to be used as an NLP infrastructure.
","Illegal or abusive activity, security violations, network abuse
",At will monitoring by the provider,Email support,,,,unknown,"Text Generation, Text Completion",https://goose.ai/docs/tos,unknown,unknown,unknown,0,65,-1,3,-1,-1,102,1,4
VQGAN-CLIP,VQGAN-CLIP is a model that better generates and edits images using a multimodal encoder to guide image generation.,,,"Evaluated by human testers rating alignment of text input, image output pairs.",,,,MIT,,,,,unknown,Less than 1 V100-hour,1 NVIDIA Tesla K80 GPU,,,,,,,2,59,81,4,53,83,265,2,4
Pythia,A suite of 16 LLMs all trained on public data seen in the exact same order and ranging in size from 70M to 12B parameters,,,Evaluated on a variety of NLP benchmarks and found to perform similarly to OPT and BLOOM models.,,,,Apache 2.0,,,,https://huggingface.co/EleutherAI/pythia-6.9b/discussions,,,64 A100 GPUs,,,,,,,2,58,167,4,62,31,255,2,3
Llemma,Llemma is a large language model for mathematics.,,,Evaluated on math benchmarks in comparison to general large language models.,,,,LLaMA 2,,,,https://huggingface.co/EleutherAI/llemma_34b/discussions,unknown,47k A100 hours,256 A100 40GB GPUs,,,,,,,2,138,216,4,62,117,215,2,3
Proof Pile 2,Proof Pile 2 is a corpus for language modeling of mathematics.,https://huggingface.co/datasets/EleutherAI/proof-pile-2,[],,"scientific papers, web data containing mathematics, mathematical code",,,MIT,,,,https://huggingface.co/datasets/EleutherAI/proof-pile-2/discussions,,,,,,,,,,1,138,216,4,37,150,48,2,4
Pile-T5,"Pile-T5 is a version of the broadly used T5 model, but improved to eliminate weaknesses such as the omission of crucial code-related tokens. It utilizes LLaMA tokenizer and is trained on the Pile, offering enhancements for finetuning on downstream tasks, particularly those involving code.",,,"The models were evaluated on SuperGLUE, CodeXGLUE, as well as MMLU and Bigbench Hard. Comparisons were made with T5v1.1 and found that Pile-T5 models performed better in most conditions.",,,,unknown,The model is aimed at downstream tasks that benefit from the encoder-decoder architecture. Particularly useful for tasks involving code.,unknown,unknown,unknown,unknown,2 million steps,unknown,,,,,,,2,59,297,0,62,198,253,2,4
Virtual Volunteer,The first-ever digital visual assistant powered by OpenAI’s new GPT-4 language model.,,,,,,,unknown,,,,,,,,,,,,,,0,19,137,0,-1,-1,91,1,4
CodeGeeX,CodeGeeX is an autoregressive language model trained on code,,,,,,,Apache 2.0,,,,,unknown,unknown,THUDM 1536 Ascend 910 (32GB) Cluster,,,,,,,2,171,85,1,50,39,302,1,4
CogView,CogView is a transformer model for text-to-image generation,,,,,,,Apache 2.0,,,,,,,,,,,,,,2,171,23,3,53,139,302,2,4
CogView 2,CogView 2 is a hierarchical transformer for text-to-image generation,,,,,,,Apache 2.0,,,,,,,,,,,,,,2,171,59,3,53,169,302,2,4
CogVideo,CogVideo is a transformer model for text-to-video generation,,,,,,,Apache 2.0,,,,,,,,,,,,,,2,171,66,3,65,198,302,2,4
GLM-130B,GLM-130B is a bidirectional language model trained on English and Chinese,,,,,,,GLM-130B License,,,,,,,THUDM 96 DGX-A100 (40G) cluster,,,,,,,2,171,73,3,62,33,252,2,4
CogVLM,CogVLM is a powerful open-source visual language foundation model,,,Evaluated on image captioning and visual question answering benchmarks.,,,,custom,Future multimodal research,,,,unknown,4096 A100 days,unknown,,,,,,,2,190,231,4,28,57,267,2,4
UltraLM,UltraLM is a series of chat language models trained on UltraChat.,,,Evaluated on AlpacaEval Leaderboard benchmarks.,,,,LLaMA 2,,,unknown,https://huggingface.co/openbmb/UltraLM-13b/discussions,unknown,unknown,unknown,,,,,,,2,171,177,1,62,39,262,2,3
UltraChat,"UltraChat is an open-source, large-scale, and multi-round dialogue data powered by Turbo APIs.",https://huggingface.co/datasets/stingning/ultrachat,[],UltraLM evaluated off of UltraChat is evaluated on standard LLM benchmarks.,"Dialogue data of questions about the world, writing and creation tasks, and questions on existing materials.",,,MIT,,,unknown,https://huggingface.co/datasets/stingning/ultrachat/discussions,,,,,,,,,,1,171,150,1,37,198,302,2,4
PolyCoder,"PolyCoder is a code model trained on 2.7B parameters based on the GPT-2 architecture, which was trained on 249GB of code across 12 programming languages on a single machine.",,,Reports results on standard code benchmarks across a variety of programming languages.,,,"No specific quality control is mentioned in model training, though details on data processing and how the tokenizer was trained are provided in the paper.",MIT,unknown,None,None,https://huggingface.co/NinedayWang/PolyCoder-2.7B/discussion,unknown,6 weeks,8 NVIDIA RTX 8000,,,,,,,2,33,48,3,11,71,109,2,3
Moment,Moment is a family of open-source foundation models for general-purpose time-series analysis.,,,Evaluated on nascent time-series datasets and benchmarks.,,,,unknown,,,unknown,,unknown,unknown,Single A6000 GPU,,,,,,,2,34,265,4,-1,122,302,2,4
OpenAssistant LLaMA 2,OpenAssistant LLaMA 2 is an Open-Assistant fine-tuning of Meta's LLaMA 2.,,,,,,,LLaMA 2,,,unknown,https://huggingface.co/OpenAssistant/llama2-70b-oasst-sft-v10/discussions,unknown,unknown,unknown,,,,,,,2,128,194,2,62,173,140,2,3
Inflection-1,Inflection AI's first version of its in-house LLM. via Inflection AI's conversational API.,,,"Evaluated on wide range of language benchmarks like MMLU 5-shot, GSM-8K, and HellaSwag 10-shot among others.",,,,unknown,,,,,,,unknown,,,,,,,2,75,176,3,62,198,302,1,4
Pi,Personal AI chatbot designed to be conversational and specialized in emotional intelligence.,,,,,,,unknown,to be used as a personal assistant chatbot for everyday activities,,,,,,,,natural language text responses,,,,,0,75,154,3,-1,-1,117,1,4
Inflection-2,"Inflection-2 is the best model in the world for its compute class and the second most capable LLM in the world, according to benchmark evaluation, as of its release.",,,"Evaluated against state of the art models on benchmarks, and found to be most performant model outside of GPT-4.",,,,unknown,,,,,unknown,unknown,5000 NVIDIA H100 GPUs,,,,,,,2,75,239,3,62,198,302,0,4
Inflection-2.5,"Inflection-2.5 is an upgraded in-house model that is competitive with all the world's leading LLMs, as of release, like GPT-4 and Gemini.",,,"Evaluated on standard LLM and technical benchmarks in comparison to Inflection-1 and GPT-4, along with advanced STEM examinations.",,,,unknown,,,,,unknown,unknown,unknown,,,,,,,2,75,278,3,62,198,302,1,4
RWKV World 4,"RWKV World 4 is an RNN with GPT-level LLM performance, which can also be directly trained like a GPT transformer (parallelizable).",,,,,,,Apache 2.0,,,unknown,https://huggingface.co/RWKV/rwkv-4-world-7b/discussions,unknown,unknown,unknown,,,,,,,2,142,155,2,62,186,302,2,3
RWKV 4 Pile,"RWKV 4 Pile is an RNN with GPT-level LLM performance, which can also be directly trained like a GPT transformer (parallelizable).",,,,,,,Apache 2.0,,,unknown,https://huggingface.co/RWKV/rwkv-4-14b-pile/discussions,unknown,unknown,unknown,,,,,,,2,142,160,2,62,41,302,2,3
RWKV World 5,"RWKV World 5 is an RNN with GPT-level LLM performance, which can also be directly trained like a GPT transformer (parallelizable).",,,,,,,Apache 2.0,,,unknown,https://huggingface.co/RWKV/rwkv-5-world-3b/discussions,unknown,unknown,unknown,,,,,,,2,142,248,2,62,125,302,2,3
ERNIE 3.0 Titan,ERNIE 3.0 Titan is a language model,,,,,,,unknown,unknown,unknown,,,unknown,unknown,"Baidu V100 Cluster, PengCheng Lab Ascend 910 NPU cluster",,,,,,,2,17,41,3,62,90,302,0,4
ERNIE-ViLG,ERNIE-ViLG is a model for text-to-image generation,,,,,,,,unknown,unknown,,,unknown,unknown,unknown,,,,,,,2,16,42,3,53,22,302,1,4
ERNIE-ViLG 2.0,ERNIE-ViLG is a model for text-to-image generation,,,,,,,unknown,unknown,unknown,,,unknown,18 days according to [[the paper]](https://arxiv.org/abs/2210.15257),320 A100 GPUs according to [[the paper]](https://arxiv.org/abs/2210.15257),,,,,,,2,16,95,3,53,22,302,0,4
ERNIE 4.0,ERNIE-4.0 is a multimodal generalist foundation model.,,,,,,,unknown,unknown,unknown,,,unknown,unknown,unknown,,,,,,,2,16,217,3,55,198,302,1,4
Q-Chat,"Quizlet is introducing Q-Chat, a fully-adaptive AI tutor that engages students with adaptive questions based on relevant study materials delivered through a fun chat experience.",,,,,,,,,,,,,,,,,https://quizlet.com/tos,,,,0,139,129,0,-1,-1,34,2,4
Bedrock,"Bedrock is a new service that makes FMs from AI21 Labs, Anthropic, Stability AI, and Amazon accessible via an API. Bedrock is intended for customers to build and scale generative AI-based applications using FMs, democratizing access for all builders. using an API.",,,,,,,unknown,allowing companies to incorporate generative AI into their business models,,,,,,,,foundation models made accessible via an API,https://aws.amazon.com/service-terms/,,,,0,7,148,3,-1,-1,126,1,4
FalconLite2,"FalconLite2 is a fine-tuned and quantized Falcon language model, capable of processing long (up to 24K tokens) input sequences.",,,Evaluated against benchmarks that are specifically designed to assess the capabilities of LLMs in handling longer contexts.,,,,Apache 2.0,,,,https://huggingface.co/amazon/FalconLite2/discussions,unknown,unknown,unknown,,,,,,,2,7,188,2,62,133,73,2,3
Chronos,"Chronos is a family of pretrained time series forecasting models based on language model architectures. A time series is transformed into a sequence of tokens via scaling and quantization, and a language model is trained on these tokens using the cross-entropy loss. Once trained, probabilistic forecasts are obtained by sampling multiple future trajectories given the historical context.",,,Chronos has been evaluated comprehensively on 42 datasets both in the in-domain (15 datasets) and zero-shot settings (27 datasets). Chronos outperforms task specific baselines in the in-domain setting and is competitive or better than trained models in the zero-shot setting.,,,"Chronos was evaluated rigorously on 42 datasets, including 27 in the zero-shot setting against a variety of statistical and deep learning baselines.",Apache 2.0,"Chronos can be used for zero-shot time series forecasting on univariate time series from arbitrary domains and with arbitrary horizons. Chronos models can also be fine-tuned for improved performance of specific datasets. Embeddings from Chronos encoder may also be useful for other time series analysis tasks such as classification, clustering, and anomaly detection.",,,https://github.com/amazon-science/chronos-forecasting/discussions,,63 hours on p4d.24xlarge EC2 instance,8 NVIDIA A100 40G GPUs,,,,,,,2,7,282,1,67,177,248,2,3
